UtilizationUnitID,AverageLoad,PeakLoad,MedianLoad,RatedPVpower,AnnualConsumption,AccumualtedEnergy,UtilizationHours,InjectionHours,PowerDrawn,PowerInjected,BatterySize
152635,0.44,7.34,0.32,11,7931,1971,5009,2730,6.74,8.37,Medium
135360,0.2,1.08,0.15,6,625,624,4393,3240,1.56,4.57,Low
123556,9.98,20.86,11.42,16,22332,46959,6981,1059,37.51,11.05,High
166810,0.18,1.61,0.18,7,628,190,4856,3803,2.05,5.43,Low
158948,0.26,3.84,1.12,11,2266,3971,6289,2219,7.65,9.44,Medium
153900,0.65,7.13,0.86,14,1116,8952,5149,2559,5.02,8.24,Medium
126210,0.14,1.95,0.08,8,727,571,4714,3307,2.02,5.3,Low
201141,4.98,12.72,6.94,20,46203,34496,7449,1350,12.78,13.01,High
188166,2.05,27.84,11.28,24,90804,21149,6783,1113,30.1,15.88,High
192422,4.02,40.01,11.43,22,37420,13603,7019,1280,34,13.17,High
178059,0.06,1.74,0.1,5,645,785,4575,3640,2.02,4.04,Low
188656,0.9,6.7,1.11,12,1695,7460,5725,2279,7.51,8.85,Medium
150314,0.25,2.1,0.8,14,1504,5035,5109,2398,7.83,9.54,Medium
167472,0.55,7.73,1.16,13,5916,4381,6097,2311,7.53,7.15,Medium
135894,0.83,3.57,0.85,13,1420,9203,6336,2705,7.17,9.86,Medium
193468,0.57,2.73,0.97,13,1196,1402,6359,2232,8.04,9.79,Medium
208645,0.25,6.75,0.59,9,4784,9597,5413,2498,5.76,10.75,Medium
133969,7.54,23.15,10.58,25,35283,41028,6620,1910,28.22,11.81,High
212492,0.45,8.68,1.12,9,6535,5647,5384,2472,2.66,6.75,Medium
133404,9.41,29.08,7.88,21,82172,44918,7448,1709,12.44,14.5,High
137952,1.53,29.27,11.64,21,49173,14093,6850,1785,18.62,11.07,High
157717,0.87,5.16,1.01,10,6466,9922,6003,2150,7.38,8.02,Medium
112169,0.2,1.85,0.28,5,674,464,4807,3056,1.76,3.18,Low
174343,0.85,8.82,0.51,14,4208,7413,6171,2019,8.76,9.74,Medium
124939,4.25,26.63,11.49,19,48829,17380,7420,1721,22.8,15.25,High
196164,2.28,20.65,4.88,21,56894,29832,7023,1918,25.9,12.32,High
139169,11.12,23.29,8.56,16,71712,10962,7448,1992,25.88,14,High
128130,0.07,0.54,0.26,7,679,775,4185,3491,2.07,5.37,Low
151893,0.8,3.88,0.48,12,4762,6617,5130,2470,7.21,8.26,Medium
133341,10.51,11.06,6.87,15,16627,69315,7539,1978,24.03,13.03,High
147319,5.87,12.62,4.47,18,99696,20250,6927,1179,15.31,14,High
125028,4.16,29.89,3.41,20,51395,39541,6624,1134,32.08,11.58,High
209468,0.04,1.17,0.03,4,682,522,4009,3897,1.55,3.57,Low
116457,0.08,1.72,0.21,8,683,121,4075,3914,1.92,5.99,Low
118613,0.38,2.69,0.87,12,5616,7943,5742,2580,7.77,8.62,Medium
200729,0.07,1.22,0.24,5,667,567,4243,3271,1.93,4.68,Low
183719,2.27,38.7,11.11,25,73106,47369,6505,1353,39.75,12.97,High
164219,4.13,15.42,1.55,18,29531,17471,6993,1573,38.17,11.3,High
136828,0.09,1.05,0.19,4,711,360,4856,3169,2.05,4.87,Low
134306,2.62,10.53,11.12,17,94515,75911,6835,1098,24.42,12.48,High
164886,6.32,17.22,2.69,15,12043,17517,7005,1806,33.21,11.42,High
171300,4.59,22.14,5.88,19,60304,45976,6425,1704,24.62,12.35,High
179774,8.35,29.73,11.5,21,27657,19458,7576,1223,10.03,14.91,High
178621,5.07,33.41,2.48,20,91840,56192,7354,1624,21.72,12.72,High
134613,0.74,7.31,1.08,10,2781,3165,5568,2007,5.99,6.47,Medium
176738,0.53,4.32,0.85,13,6292,6270,5596,2409,3.93,7.3,Medium
210222,7.44,16.36,4.91,22,63179,17925,7180,1709,10.87,12.69,High
179127,0.59,7.62,0.75,14,3502,6479,5828,2999,8,8.68,Medium
177195,3.42,28.85,8.3,25,24193,21846,7210,1372,22.31,15.98,High
146268,0.15,1.57,0.17,3,721,479,4707,3503,1.95,3.59,Low
196088,11.75,23.6,1.29,25,61556,33084,6822,1382,32.27,15.64,High
158051,0.43,3.68,0.67,12,1198,5490,5231,2442,6.96,8.8,Medium
117645,0.48,7.94,0.5,9,5411,6249,5355,2357,8.6,10.52,Medium
174000,0.48,2.53,1.04,14,1677,8457,5829,2382,8.8,9.79,Medium
169637,0.29,7.38,0.32,14,3953,3265,6275,2821,3.46,10.09,Medium
197954,0.13,0.69,0.27,6,718,223,4191,3459,2.17,3.45,Low
115096,9.99,33.59,2.24,25,81732,53602,7228,1120,11.14,14.95,High
211622,0.54,8.88,0.37,10,956,6370,6222,2970,4.17,8.27,Medium
200071,0.2,1.52,0.06,7,659,853,4148,3463,1.86,3.31,Low
149073,0.55,4.73,0.42,9,2160,1998,5111,2659,8.36,7.08,Medium
178336,11.61,32.57,4.82,19,57478,14622,7227,1847,10.32,12.37,High
190103,0.61,8.09,0.53,10,7991,9939,5073,2718,7.54,9.82,Medium
135853,0.09,0.54,0.24,3,731,281,4082,3889,2.06,5.27,Low
205082,0.27,7.29,0.56,13,6813,4397,6208,2587,6.93,8.83,Medium
202159,0.16,1.57,0.29,8,661,799,4888,3161,1.91,3.44,Low
190807,0.55,8.75,0.54,14,3792,4745,5882,2730,6.2,7.78,Medium
137793,0.54,7.4,0.38,13,7204,6967,6085,2551,3.48,10,Medium
204880,0.45,8.79,0.87,9,6478,1932,5863,2903,5.4,10.39,Medium
120102,0.12,1.31,0.21,5,692,703,4409,3873,1.76,3.75,Low
134462,8.87,18.37,11.94,19,11353,52035,7289,1845,32.34,13.28,High
174475,0.8,6.6,0.41,14,1381,5474,6211,2428,6.07,6.56,Medium
140426,0.43,5.99,0.43,14,1481,7155,6149,2458,7.78,8.09,Medium
134919,9.69,15.28,9.56,17,58893,53797,6779,1203,19.42,14.93,High
208019,11.1,18.95,2.06,18,37611,26178,7006,1551,23.21,15.49,High
144422,0.22,3.69,0.64,12,824,8387,5477,2187,4.41,6.66,Medium
161616,0.23,8.25,0.54,14,5622,7074,5725,2657,7.91,7.87,Medium
159486,0.16,0.82,0.16,7,647,146,4537,3981,1.53,4.98,Low
210458,8.99,36.8,4.94,21,91386,30671,6586,1866,31.29,11.29,High
164085,0.87,4.98,1.17,11,1322,2361,5141,2405,7.2,9.93,Medium
125511,0.75,8.38,0.92,12,5005,8529,5890,2901,3.91,8.26,Medium
117918,0.14,1.5,0.07,7,621,412,4823,3689,1.65,4.05,Low
206000,0.04,0.78,0.11,4,717,289,4232,3135,2.04,4.88,Low
190171,1.05,33.25,3.83,18,73218,27149,6753,1367,15.18,15.17,High
161694,0.15,0.83,0.08,5,637,943,4928,3691,2.21,4.93,Low
119318,6.62,24.51,8.1,19,55691,34911,7598,1233,36.44,12.88,High
151373,2.11,21.69,9.15,19,74554,14082,7431,1233,20.99,15.86,High
117139,0.07,1.86,0.08,6,670,747,4060,3163,2.41,3.92,Low
197645,0.15,1.06,0.12,3,678,200,4101,3050,2.28,4.31,Low
194015,0.13,1.92,0.09,5,624,260,4894,3978,1.87,5.34,Low
187549,0.37,7.02,0.6,13,7952,9102,6017,2479,8.89,8.54,Medium
125146,0.86,6.36,0.37,12,3477,2615,5200,2462,5.74,7.12,Medium
209679,0.65,2.87,0.72,9,7176,6663,5977,2598,7.74,8.5,Medium
114136,0.05,1.77,0.12,7,643,201,4854,3396,1.91,3.83,Low
134632,0.78,7.47,0.39,10,6294,4900,5439,2850,2.55,6.15,Medium
193556,0.58,3.34,0.37,11,7761,5137,5620,2616,7.18,7.88,Medium
209184,10.09,13.89,4.98,17,15961,72321,7265,1577,24.62,12.38,High
183217,0.62,7.87,0.41,10,993,8697,6105,2562,3.15,10.75,Medium
164960,1.18,13.44,10.14,19,64338,62688,7307,1730,34.49,13.33,High
161180,0.48,6.79,0.74,11,1127,5241,5831,2625,3.9,9.39,Medium
127225,0.37,3.13,0.72,11,2904,3461,6020,2550,4.13,8.17,Medium
151369,1.56,38.83,2.11,17,78543,18413,7459,1489,23.18,14.79,High
138151,0.17,1.02,0.19,8,678,634,4571,3528,1.56,4.78,Low
131184,0.56,4.96,1.08,12,3319,1420,6275,2232,2.9,10.98,Medium
189332,0.18,0.94,0.11,3,647,763,4967,3147,2.36,3.32,Low
139273,0.47,8.38,1.08,12,4523,4589,6279,2333,2.93,8.57,Medium
144217,0.56,8.55,1.19,13,3242,6524,5663,2046,7.9,9.29,Medium
159670,6.05,9.43,4.38,19,17264,52762,6686,1310,25.99,14.08,High
180496,0.13,1.4,0.21,4,687,485,4223,3146,1.77,3.11,Low
167010,0.82,3.39,0.63,13,4984,6682,5983,2052,7.97,6.02,Medium
142822,9.58,27.22,4.72,25,31712,23732,6869,1126,38.43,15.97,High
174730,10.83,37.79,6.59,25,28101,21820,6636,1360,21.36,15.22,High
122583,0.65,5.74,0.56,10,2478,5570,5886,2735,4.65,6.14,Medium
210881,0.06,0.57,0.03,5,728,987,4375,3700,2.18,4.3,Low
195248,0.18,1.78,0.19,3,666,995,4143,3880,2.29,4.61,Low
178657,10.14,21.52,9.93,15,92715,51540,6856,1323,36.69,12.03,High
156075,11.7,25.1,11.48,16,98989,67357,6486,1609,35.55,12.75,High
119382,0.36,2.66,0.67,11,7742,8926,6213,2042,6.04,8.34,Medium
125994,2.41,18.32,5.25,21,61557,64022,6767,1372,16.61,13.69,High
193603,3.96,35.85,8.26,15,80021,60384,6672,1443,22.95,15.68,High
212317,0.09,0.81,0.23,3,633,135,4162,3547,2.16,3.74,Low
141003,4.51,15.94,10.93,19,52112,10001,6552,1025,38.7,11.91,High
211749,4.96,34.62,10.54,19,80609,63061,6587,1221,15.77,11.49,High
181575,0.16,1.72,0.08,3,622,494,4064,3256,1.72,4.99,Low
195109,11.48,15.78,9.42,24,33549,61594,7530,1872,39.31,15.07,High
171008,0.36,6.89,0.76,14,4404,8985,5005,2040,5.57,8.36,Medium
160497,4.46,12,2.32,15,15240,54716,6574,1745,22.4,15.1,High
150869,3.84,38.67,4.73,20,22362,21230,6795,1701,12.28,14.44,High
159773,0.75,2.08,0.81,14,1170,4631,5629,2019,7.2,10.98,Medium
209250,0.18,1.73,0.21,8,737,962,4116,3228,2.39,4.97,Low
135440,0.11,1.8,0.08,7,674,1000,4600,3505,1.54,4.14,Low
164009,7.51,12.56,1.74,25,92872,48180,7584,1057,19.48,13.82,High
154113,3.08,38.57,6.53,25,20999,12007,6994,1293,37.99,11.27,High
123443,0.13,0.56,0.06,4,676,467,4753,3430,1.95,4.69,Low
194848,10.57,29.83,8.99,21,27769,14464,6506,1381,37.7,14.34,High
205465,1.86,16.71,6.84,16,55472,41721,6694,1726,33.77,11.05,High
121196,0.63,6.14,0.6,14,6527,2759,5144,2712,4.78,7.68,Medium
172827,0.09,1.65,0.13,6,672,286,4851,3929,1.79,4.64,Low
170824,0.8,7.85,1.1,12,2077,7866,6050,2804,5.31,8.13,Medium
180853,0.06,1.32,0.27,7,664,675,4313,3699,1.9,5.88,Low
133903,3.37,34.78,3.05,25,22393,67317,7356,1831,33.43,11.76,High
188105,6.75,27.92,6,19,96028,66940,7271,1073,34.23,15.41,High
140604,0.07,1.93,0.13,3,634,870,4913,3994,2.07,3.39,Low
157847,11.71,11.82,11.34,18,88740,42149,7515,1430,13.12,11.39,High
141002,8.61,10.63,4.25,16,62694,16618,7281,1127,29.93,14.15,High
208824,0.07,0.93,0.3,5,641,644,4553,3045,1.84,4.34,Low
149131,3.57,34.24,7.08,15,84670,37484,7124,1570,16.07,14,High
116144,4.19,31.58,9.34,18,27135,60937,6617,1155,12.17,11.56,High
167939,0.1,0.95,0.03,6,652,854,4476,3247,1.86,3.65,Low
177429,0.39,6.34,0.97,11,5032,3063,5448,2619,3.06,10.94,Medium
135424,0.06,1.76,0.15,8,730,540,4832,3707,1.59,3.33,Low
203931,4.85,10.53,7.59,17,18396,24516,7038,1810,10.27,13.17,High
173821,0.14,1.31,0.05,7,731,628,4670,3870,2.07,4.36,Low
196487,0.43,4.06,0.9,9,4188,6189,5095,2462,2.74,7.2,Medium
157060,0.24,3.91,0.56,10,3400,7900,6223,2087,4.44,8.16,Medium
139927,0.83,3.04,0.85,13,1343,7932,5177,2512,7.27,6.88,Medium
112909,0.68,7.33,0.52,9,6201,5763,5673,2619,7.48,7.5,Medium
161823,0.04,1.14,0.07,5,620,961,4275,3929,1.78,4.42,Low
126361,0.08,1.91,0.09,7,631,694,4038,3942,1.71,5.98,Low
199565,0.69,7.99,0.92,11,2346,3293,6324,2112,2.98,9.87,Medium
200471,0.09,1.18,0.13,6,674,695,4771,3386,1.71,4.88,Low
204752,8.49,24.12,1.39,17,27903,35429,6857,1806,39.43,15.09,High
173646,0.47,4.87,0.33,14,2617,7449,6226,2437,5.62,8.52,Medium
183753,0.69,8.53,0.97,13,6738,5180,5189,2083,4.48,10.15,Medium
135348,0.07,1.5,0.21,8,685,681,4143,3893,2.32,4.51,Low
149752,7.03,22.62,7.94,20,76324,15319,6518,1172,21.81,12.84,High
151947,0.81,4.68,0.86,10,5421,1679,5208,2539,8.34,6.06,Medium
135753,8.7,17.06,11.01,24,13594,67983,7536,1241,36.01,13.72,High
186142,0.87,5.28,0.95,11,2290,5189,5262,2667,8.38,8.44,Medium
171391,9.13,18.49,6.1,18,23351,45334,6605,1765,38.24,13.87,High
118173,0.15,1.61,0.05,8,721,568,4869,3962,1.59,5.91,Low
193884,0.87,2.6,1.06,12,1167,1378,6265,2359,2.59,8.28,Medium
207430,0.05,1.75,0.18,6,681,733,4588,3258,2.24,5.3,Low
155562,1.43,17.4,5.05,18,95886,28969,7198,1335,13.04,12.66,High
146595,7.94,28.94,11.11,20,64057,48537,7568,1013,36.63,11.39,High
164659,0.19,1.55,0.24,5,657,424,4009,3622,1.98,3.33,Low
145460,0.77,3.27,0.78,12,7790,9349,6348,2340,8.53,7.28,Medium
180877,4.82,9.85,9.55,18,19854,76437,6453,1081,10.95,15.44,High
123154,0.08,1.9,0.12,5,715,213,4565,3484,2.4,3.74,Low
121676,0.16,1.99,0.19,6,734,103,4915,3124,1.62,5.7,Low
145515,0.07,1.74,0.05,3,644,733,4264,3259,1.51,5.63,Low
136224,3.17,19.67,3.88,20,27673,79287,6445,1966,13.21,14.36,High
170669,0.17,1.57,0.07,8,665,363,4106,3361,2.02,5.38,Low
150093,5.95,31.3,9.07,20,93941,44373,7061,1332,19.46,14.27,High
169274,0.66,7.69,0.49,13,1488,2361,5895,2096,4.81,8.74,Medium
184931,0.04,1.08,0.09,4,657,638,4785,3077,1.63,4.31,Low
149481,6.81,16.56,2.75,20,19901,31079,6927,1827,25.76,11.42,High
206574,10.03,32.66,11.72,18,24162,59304,7419,1458,22.21,12.29,High
206203,2.35,28.28,6.89,21,86888,57694,6899,1568,37.59,14.75,High
145068,0.6,6.6,0.31,9,2268,2335,5417,2520,6.89,8.63,Medium
134569,0.12,1.08,0.16,5,627,898,4094,3174,1.64,4.72,Low
155204,8.04,34.5,4.86,25,51599,79866,6564,1123,19.28,15.33,High
113194,0.73,6.47,0.55,13,6123,6651,6159,2546,2.99,10.21,Medium
118212,3.45,34.73,9.07,21,67505,33778,6957,1327,31.98,11.51,High
142567,0.84,3.77,1.05,9,4012,4651,5536,2556,4.22,10.48,Medium
214519,9.22,34.95,4.41,20,39202,79329,7126,1486,33.45,11.92,High
133896,11.41,26.35,4.68,15,57337,30331,6653,1999,26.55,15.79,High
120109,0.05,0.7,0.03,6,676,675,4565,3454,1.76,5.37,Low
151824,7.57,39.14,5.54,18,47432,38702,6574,1264,23.77,15.75,High
123635,7.97,24.77,8.46,19,38005,23620,6500,1244,11.59,14.98,High
154168,0.53,8.87,0.75,14,4903,3404,5916,2062,8.49,8.49,Medium
114119,0.16,1.98,0.09,6,708,174,4403,3950,1.84,4.86,Low
120281,0.4,3.54,0.43,9,6027,8964,5985,2829,5.42,7.43,Medium
208665,0.14,0.89,0.05,4,671,754,4852,3213,1.95,5.62,Low
198551,1.15,18.83,3.05,15,89376,72701,6473,1360,18.54,15.52,High
212519,0.06,1.76,0.11,8,699,619,4632,3938,2.22,3.59,Low
135374,0.11,0.9,0.09,6,702,926,4873,3544,1.9,3.42,Low
204630,0.71,3.62,0.76,10,4496,7260,6305,2228,6.58,10.59,Medium
114090,0.12,1.74,0.27,8,644,773,4245,3151,1.67,4.64,Low
155176,8.71,19.4,7.21,15,65448,64808,7124,1842,32.8,16,High
130442,0.15,1.11,0.05,3,700,251,4662,3408,2.05,4.24,Low
154333,11.62,22.46,9.74,25,45481,41160,7598,1089,13.49,15.12,High
162913,11.38,20.68,7.83,15,39852,75910,6422,1360,19.95,14.64,High
203575,8.85,20.64,1.97,15,68619,10357,7490,1169,15.61,14.72,High
180498,0.15,1.48,0.1,8,719,306,4625,3048,1.92,3.3,Low
161090,5.3,30.97,7.6,19,28866,51949,7415,1096,16.71,13.94,High
157210,0.19,0.76,0.16,4,717,605,4439,3676,2.1,3.74,Low
160991,0.74,2.36,0.67,14,3916,6846,5838,2428,8.76,8.14,Medium
167935,0.81,8.29,0.39,14,7613,5043,6327,2532,4.86,6.6,Medium
116203,0.08,0.64,0.19,3,735,877,4204,3076,2.1,4.49,Low
168239,0.56,4.58,0.59,13,2864,4950,5511,2006,3.82,8.94,High
184268,2.43,38.9,3.3,22,8199,42150,7576,1660,34.97,15.71,High
138710,0.41,8.74,0.59,14,5724,4460,5496,2802,5.7,6.99,Medium
155964,0.15,1.82,0.02,4,701,129,4607,3755,1.64,3.35,High
139497,0.05,0.97,0.25,8,668,433,4832,4000,2.38,5.74,Medium
214296,0.8,2.49,0.53,12,2662,7414,5017,2752,6.93,9.99,Medium
132834,0.25,4.92,0.64,13,7785,8973,5298,2550,5.8,9.79,High
205494,0.41,5.83,0.48,11,7415,3013,5056,2563,8.31,10.11,Medium
137497,0.06,1.52,0.18,7,659,816,4813,3159,1.81,4.61,Medium
136798,0.18,0.68,0.11,4,714,720,4051,3023,1.96,5.13,High
181691,0.16,1.7,0.2,6,712,967,4647,3010,1.69,5.76,Medium
159339,0.18,1.55,0.04,5,740,302,4421,3675,1.61,5.01,Low
210485,0.14,1.33,0.12,7,701,976,4482,3931,1.53,5.4,High
115378,11.45,15.79,10.51,25,32363,14123,6824,1886,38.01,12.01,High
184620,6.81,26.15,11.11,15,64398,51883,7359,1584,9.97,12.85,Medium
200254,0.28,7.37,0.97,13,1948,4860,5690,2091,8.22,6.19,High
172468,0.05,0.67,0.07,8,652,870,4711,3905,1.96,4.6,Medium
161469,0.21,3.53,0.85,9,2673,6080,5674,2108,4.63,9.28,Medium
205448,6.74,15.4,2.24,19,24861,76495,6694,1496,10.08,15.89,High
163993,0.67,4.25,0.77,14,3034,3309,5645,2298,3.01,10.89,Medium
119671,0.11,0.93,0.09,6,716,599,4956,3035,1.98,4.47,Medium
113622,0.17,1.62,0.18,4,727,196,4481,3546,2.08,3.94,High
205626,0.13,1.61,0.19,6,702,509,4167,3848,2.16,5.94,Medium
178094,0.09,0.9,0.18,3,664,766,4201,3293,2.01,4.45,Low
184214,0.18,0.94,0.04,7,623,152,4973,3732,2.18,3.47,High
115978,9.86,31.25,3.9,23,85487,18370,6401,1195,24.22,12.12,High
177898,9.2,27.01,2.73,19,37143,49612,7219,1734,27.92,14.91,Medium
166303,0.71,7.58,0.49,10,6745,5273,5165,2576,4.76,6.87,High
164625,0.42,4.54,0.97,13,1624,7661,5875,2283,4.01,6.29,Medium
167371,1.35,20.06,3.77,20,36998,32789,7327,1828,36.18,11.28,High
115411,6.18,38.88,9.21,22,39358,68403,7428,1552,28.7,15.13,High
176047,11.69,10.24,2.72,24,65585,48343,6613,1289,30.14,13.86,High
194367,0.26,5.76,0.75,13,5951,7461,5316,2666,7.36,6.51,Medium
143171,0.83,5.02,1.01,14,3002,2632,5096,2946,8.8,7,High
182599,0.86,7.78,0.46,13,2209,4196,6261,2491,7.23,7.47,Medium
210197,0.63,3.77,0.34,10,7173,1742,6173,2704,6.36,8.67,Medium
203831,0.2,0.83,0.21,6,703,168,4771,3335,1.82,5.9,High
163123,0.05,1.9,0.19,3,630,664,4453,3143,2.36,4.47,Low
151735,0.35,5.89,1.11,10,3785,2891,5465,2541,3.53,8.7,Medium
138240,0.48,7.52,1.05,10,7425,2261,6112,2642,7.28,6.24,High
129687,0.12,1.7,0.25,7,728,515,4107,3141,2.43,5.13,Medium
202451,10.4,34.1,10.66,19,98625,27955,6616,1006,17.12,11.33,High
135672,0.7,5.79,0.97,13,5799,2578,5150,2286,2.77,6.06,High
155232,0.13,1.66,0.25,8,691,337,4189,3050,1.69,5.86,Low
150953,0.46,3.82,0.8,10,5283,9341,5337,2423,8.06,6.39,Medium
136038,8.77,26.14,5.41,22,8965,75493,7394,1488,34.75,15.4,High
145063,0.66,6.17,1.13,11,2266,8649,5860,2931,7.54,7.55,Medium
206047,4.6,26.06,4.66,25,71391,78037,6486,1694,13.28,15.21,High
167637,4.25,14.06,7.58,16,32309,54642,7305,1288,14.7,15.62,High
117630,10.1,9.66,11.97,25,56147,17706,6465,1012,14.14,11.74,High
111986,0.12,0.84,0.15,8,731,825,4589,3757,1.6,4.74,Medium
